Organization,Gift Year,Gift Amount,Org-reported mission statement,Website,Org-reported geographies of service,Org-reported focus areas
"South Texas Food Bank","2020","$9000000","To alleviate hunger in the eight-county service area in the South Texas area by collecting and distributing food through partner agencies and programs while creating awareness and educating the community on the realities of hunger.","https://www.southtexasfoodbank.org","Starr County, TX; Val Verde County, TX; Webb County, TX","Humanitarian assistance and relief"
"South Texas Independent School District","2022","$8000000","STISD Call to Action: Each student thrives in real world challenges as a visionary in a global society.","https://www.stisd.net/","Cameron County, TX; Hidalgo County, TX; Fort Bend County, TX","Elementary, secondary education; Vocational education"
"Southeast Asia Resource Action Center (SEARAC)","2022","Disclosure delayed for benefit of recipient","SEARAC is a national civil rights organization that empowers Cambodian, Laotian, and Vietnamese American communities to create a socially just and equitable society. As representatives of the largest refugee community ever resettled in the United States, SEARAC stands together with other refugee communities, communities of color, and social justice movements in pursuit of social equity.","https://www.searac.org/","United States; California, US","Elementary, secondary education; Aging; Immigration or migration; Race and ethnicity; Regrantor"
"Southeast Ohio Foodbank","2020","$3000000","HAPCAP has a mission to mobilize resources to empower individuals and communities through advocacy and quality services that promote self-sufficiency and improved quality of life. *The Southeast Ohio Foodbank is a program of HAPCAP--we will be developing a mission statement for the Foodbank in the coming months.","https://hapcap.org/seo-foodbank/","Athens County, OH; Hocking County, OH; Perry County, OH","Maternal and perinatal health; Nutrition and food security"
"Southeast Texas Food Bank","2020","Disclosure delayed for benefit of recipient","Ending Hunger Feeding Hope","https://setxfoodbank.org/","Beaumont, TX; Orange, TX; Port Arthur, TX","Nutrition and food security"
"Southern Bancorp Community Partners","2020","$2000000","To create economic opportunity in SBCP's target market","https://southernpartners.org/","United States; Arkansas, US; Mississippi, US","Access to housing and housing development; Economic development; Financial inclusion; Nonprofit sector strengthening"
"Southern Coalition for Social Justice","2020","Disclosure delayed for benefit of recipient","The Southern Coalition for Social Justice partners with communities of color and economically disadvantaged communities in the South to defend and advance their political, social, and economic rights through the combination of legal advocacy, research, organizing, and communications.","https://southerncoalition.org/","United States","Democracy; Incarceration and justice system involvement; Race and ethnicity"
"Southern Crescent Habitat for Humanity","2022","$1250000","Seeking to put God's love into action, Southern Crescent Habitat for Humanity brings people together to build homes, communities, and hope.","https://www.schabitat.org/","Clayton County, GA; Fayette County, GA; Henry County, GA","Access to housing and housing development; Economic development; Financial inclusion; Aging; Race and ethnicity"
"Southern Education Foundation","2022","Disclosure delayed for benefit of recipient","Since 1867, the mission of Southern Education Foundation has been to advance equitable education practices and policies in the South through research, advocacy, and leadership development that will result in every student regardless of background attaining a high-quality education that propels them toward the opportunity-rich life they deserve.","https://www.southerneducation.org/","South, US; Delaware, US; Maryland, US","Early learning; Elementary, secondary education; Postsecondary, tertiary education; Race and ethnicity; Human rights"
"Southern Oregon Goodwill Industries","2020","$5000000","To Enable Employment by providing opportunities for personal and professional growth.","https://www.sogoodwill.org","California, US; Oregon, US; Medford, OR","Livelihoods and workforce development; Vocational education; Nonprofit sector strengthening"
"Southern Partners Fund","2020","$10000000","Support grassroots community organizations in the rural South seeking racial, economic and environmental justice by providing financial resources, technical assistance, training and access to systems of information and power.","https://www.southernpartnersfund.org","South, US","Civic and social engagement; Youth development; Environmental justice; Immigration or migration; Fund"
"Southerners on New Ground (SONG)","2020","Disclosure delayed for benefit of recipient","Song is home for LGBTQ liberation across all lines of race, class, abilities, age, culture, gender, and sexuality in the South.","https://southernersonnewground.org/","South, US; United States","Race and ethnicity; Sexual orientation"
"Southwest Folklife Alliance","2021","$1500000","We build more equitable and vibrant communities by celebrating the everyday expressions of culture, heritage, and diversity rooted in the Greater Southwest and U.S. Mexico Border Corridor. Nationally, we amplify models and methods of meaningful cultural work that center traditional knowledge, social equity, and collaboration.","https://southwestfolklife.org/","Tucson, AZ","Craft and traditional arts; Cultural awareness; Economic development; Race and ethnicity"
"Southwest Texas Junior College (SWTJC)","2021","$5000000","Southwest Texas Junior College enriches lives and advances growth through the education of our diverse communities.","https://www.swtjc.edu/","Maverick County, TX; Uvalde County, TX; Val Verde County, TX","Postsecondary, tertiary education"
"Spark Justice Fund at Borealis Philanthropy","2021","Disclosure delayed for benefit of recipient","The Spark Justice Fund (SJF) supports grassroots organizing and power-building groups seeking to decarcerate, close jails, and advance transformative visions of pretrial justice in the communities most impacted by incarceration in the United States","https://borealisphilanthropy.org/wp-content/uploads/2020/09/SJF-Rapid-Response-Call-for-Proposals-2020.pdf","United States","Civic and social engagement; Economic development; Incarceration and justice system involvement; Race and ethnicity; Fund"
"Spelman College","2020","$20000000","Spelman College, a historically Black college and a global leader in the education of women of African descent, is dedicated to academic excellence in the liberal arts and sciences and the intellectual, creative, ethical, and leadership development of its students.","https://www.spelman.edu/","United States; Georgia, US; Atlanta, GA","Postsecondary, tertiary education; Race and ethnicity"
"Sphinx Organization","2021","Disclosure delayed for benefit of recipient","Transforming Lives Through the Power of Diversity in the Arts","https://www.sphinxmusic.org/","Michigan, US; Detroit, MI; New York, NY","Performing arts; Bridging divides; Youth development; Race and ethnicity; Regrantor"
"Springboard Collaborative","2022","$10000000","Springboard Collaborative closes the literacy gap by closing the gap between home and school.","https://www.springboardcollaborative.org/","United States","Early learning; Elementary, secondary education; Race and ethnicity"
"Springfield Urban League","2022","$9300000","To assist struggling and disadvantaged individuals to achieve social and economic self-sufficiency.","https://www.springfieldul.org/","Illinois, US; North America; United States","Civic and social engagement; Livelihoods and workforce development; Early learning; Youth development; Access to healthcare"
"Spy Hop Productions","2021","$3000000","Spy Hop mentors young people in the digital media arts to help them find their voice, tell their story, and affect positive change in their lives, their communities, and the World.","https://spyhop.org/","Utah, US","Creative youth development; Bridging divides; Civic and social engagement; Youth development"
"St. Louis Teacher Residency","2022","$1500000","Through a model of rigorous preparation, St. Louis Teacher Residency recruits, trains, and supports teachers who are capable of accelerating student achievement from the moment they become a teacher of record. Our graduates become leaders in their schools and classrooms, effectively meeting the needs of the students they serve.","https://www.stlteach.org/","Missouri, US; St. Louis, MO","Elementary, secondary education; Postsecondary, tertiary education; Race and ethnicity"
"Stand for Children Leadership Center","2022","$20000000","Stand for Children Leadership Center is a unique catalyst for education equity and racial justice, to create a brighter future for us all.","https://standleadershipcenter.org/","United States","Early learning; Elementary, secondary education; Postsecondary, tertiary education; Incarceration and justice system involvement; Race and ethnicity"
"State Infrastructure Fund","2020","$10000000","The State Infrastructure Fund (SIF) is a non-partisan, 501 (c)(3) donor collaborative fund at NEO Philanthropy, Inc. that works to increase civic participation and advance voting rights among Black, Indigenous and People of Color (BIPOC) and other historically underrepresented communities.","https://neophilanthropy.org/collaborative-funds/state-infrastructure-fund/","Midwest, US; South, US; West, US","Civic and social engagement; Democracy; Race and ethnicity; Fund; Nonprofit sector strengthening"
"State Voices","2020","Disclosure delayed for benefit of recipient","The State Voices Affiliated Network is a nonpartisan network of 25 state-based coalitions called ""State Tables"" that collectively partner with over 1,200 organizations. Together, we fight for a world where every vote is counted, every voice is heard, and every need is met.","https://www.statevoices.org/","United States","Civic and social engagement; Democracy; Regrantor"
"StoryCorps","2020","$7000000","StoryCorps' mission is to preserve and share humanity's stories to build connections between people and create a more just and compassionate world.","https://storycorps.org/","United States","Cultural awareness; Multidisciplinary arts; Democracy"
"Student Experience Research Network","2021","Disclosure delayed for benefit of recipient","Student Experience Research Network connects people and ideas across research, practice, and policy to advance relevant scientific knowledge and improve decision-making by education system and institution leaders so that every student’s experience of school sets them up to learn and thrive.","https://studentexperiencenetwork.org/","United States","Elementary, secondary education; Postsecondary, tertiary education; Regrantor"
"Student Leadership Network","2022","$7000000","Student Leadership Network supports young people growing up in diverse underserved communities to gain access to higher education, helping them fulfill their dreams. Through our work in college access and success and girls' and gender-expansive youth education, we are working towards a future without barriers to the educational opportunities all students deserve.","https://www.studentleadershipnetwork.org/","South, US; West, US; New York, US","Elementary, secondary education; Postsecondary, tertiary education; Race and ethnicity; Nonprofit sector strengthening"
"Student Veterans of America","2022","$8000000","Act as a catalyst for student veteran success by providing resources, network support and advocacy to, through, and beyond higher education.","https://studentveterans.org/","United States; Washington, DC","Bridging divides; Livelihoods and workforce development; Postsecondary, tertiary education; Race and ethnicity; Mental and behavioral health"
"Study Hall Educational Foundation","2022","$3000000","A world where everyone is educated for gender equality, social justice, personal flourishing and active democratic citizenship.","https://studyhallfoundation.org","South Asia; India","Early learning; Elementary, secondary education; Postsecondary, tertiary education; Caste; Gender identity"
"Sunflower Foundation","2022","$4000000","To serve as a catalyst to improve the health and wellbeing of Kansans and the communities in which they reside.","https://www.sunflowerfoundation.org","Kansas, US","Access to healthcare; Active living; Mental and behavioral health; Public health, public health infrastructure; Nonprofit sector strengthening"
"Surge Institute","2021","Disclosure delayed for benefit of recipient","To educate and develop leaders of color who create transformative change for young people, their families and our broader communities.","https://www.surgeinstitute.org/","United States","Livelihoods and workforce development; Elementary, secondary education; Race and ethnicity; Youth development"
"Sussex County Habitat for Humanity","2022","$3500000","Seeking to put God's love into action, Sussex County Habitat for Humanity bring people together to build homes, communities and hope.","https://www.sussexcountyhabitat.org/","Sussex County, DE","Access to housing and housing development; Economic development; Financial inclusion"
"Swasti Health Catalyst","2022","Disclosure delayed for benefit of recipient","To enable people and communities, particularly the marginalised, to make the right choices and lead healthy lives","https://swastihc.org/","East Asia & Pacific; South Asia; Sub-Saharan Africa","Access to healthcare; Chronic diseases; Nutrition and food security; Sexual and reproductive health and justice; Water access, sanitation, and hygiene"
"Sylvia Rivera Law Project (SRLP)","2022","Disclosure delayed for benefit of recipient","The Sylvia Rivera Law Project (SRLP) works to guarantee that all people are free to self-determine their gender identity and expression, regardless of income or race, and without facing harassment, discrimination, or violence. SRLP works to improve access to respectful and affirming social, health, and legal services for our communities.","https://srlp.org/","New York, US","Sexual orientation; Incarceration and justice system involvement; Gender identity"
"Tacoma Public Schools","2022","$18000000","In partnership with parents and community, we will provide a comprehensive educational experience that is rigorous, individualized and enables students to contribute to a changing and diverse world.","https://www.tacomaschools.org/","Washington, US; Tacoma, WA","Creative youth development; Economic development; Elementary, secondary education; Child development and welfare; Mental and behavioral health"
"Tacoma/Pierce County Habitat for Humanity","2022","$4500000","With God's grace and the cooperation of people from all walks of life, Tacoma/Pierce County Habitat for Humanity partners with families in need to build and own simple, decent, affordable homes in safe communities.","https://www.tpc-habitat.org/","Pierce County, WA","Access to housing and housing development; Financial inclusion; Aging; Faith and religion; Race and ethnicity"
"Talent Beyond Boundaries","2022","$3000000","Talent Beyond Boundaries (TBB) is building a world where displaced people can safely migrate for work, using their skills to rebuild their lives with dignity and purpose. We match refugees with employers globally, and work with governments to ensure that displaced people have equitable access to skilled visa pathways.","https://www.talentbeyondboundaries.org/","Global; Middle East & North Africa; North America","Economic development; Livelihoods and workforce development; Immigration or migration; Humanitarian assistance and relief; Human rights"
"TalkingPoints","2022","$10000000","To drive student success by unlocking the potential of families to fuel their children's learning, especially in under-resourced communities","https://talkingpts.org/","United States","Bridging divides; Early learning; Elementary, secondary education; Immigration or migration; Race and ethnicity"
"Teach For America","2022","$25000000","Teach For America finds, develops, and supports a diverse network of leaders who expand opportunity for children from classrooms, schools, and every sector and field that shapes the broader systems in which schools operate. For more information, visit www.teachforamerica.org.","https://www.teachforamerica.org/","United States","Elementary, secondary education"
"Teaching Lab","2022","$10000000","To fundamentally shift the paradigm of teacher learning, growth and development for educational equity.","https://www.teachinglab.org/","United States","Bridging divides; Early learning; Elementary, secondary education; Race and ethnicity"
"Team Red, White & Blue","2022","$6000000","Team RWB's mission is to enrich veterans' lives by forging the leading health and wellness community for veterans.","https://www.teamrwb.org/","United States","Bridging divides; Chronic diseases; Mental and behavioral health; Nonprofit sector strengthening"
"Team Rubicon","2022","$7000000","Team Rubicon is a veteran-led humanitarian organization that serves global communities before, during, and after disasters and crises.","https://teamrubiconusa.org/","Global; United States","Humanitarian assistance and relief"
"TechSoup Global","2021","$6000000","TechSoup's mission is to build a dynamic bridge that leverages technology to enable connections and innovative solutions for a more equitable planet.","https://meet.techsoup.org","Global","Bridging divides; Civic and social engagement; Humanitarian assistance and relief; Philanthropic sector strengthening; Nonprofit sector strengthening"
"Texas A&M International University","2021","$40000000","Texas A&M International University (TAMIU), a Member of The Texas A&M University System, prepares students for leadership roles in an increasingly complex, culturally diverse state, national, and global society.","https://www.tamiu.edu","Texas, US; Laredo, TX","Performing arts; Bridging divides; Postsecondary, tertiary education; Mental and behavioral health"
"Texoma Health Foundation (THF)","2022","$6000000","To improve the health and wellbeing of residents in our service area. THF is working to build a culture of mental wellbeing in our rural service area.","https://www.texomahealth.org/","United States; Oklahoma, US; Texas, US","Bridging divides; Fund; Mental and behavioral health; Philanthropic sector strengthening; Nonprofit sector strengthening"
"The Aangan Trust","2022","$4000000","Aangan works to make children's protection and wellbeing everyone's business so that even the most vulnerable child is safe, supported, in school and free from violence and exploitation. We do this by empowering communities, strengthening public institutions, and galvanising the broader ecosystem to take action to safeguard children's rights.","https://aanganindia.org/","South Asia; India","Civic and social engagement; Caste; Child development and welfare; Sexual and gender-based violence"
"The Academy Charter School","2022","$7000000","Create world class competitive scholars who will LEARN today, LEAD tomorrow, and SERVE in the future.","https://academycharterschool.org/","New York, US; New York, NY","Creative youth development; Early learning; Elementary, secondary education; Vocational education; Youth development"
"The Alleghany Foundation","2022","$3000000","The Alleghany Foundation seeks to become a catalyst for positive change in the Alleghany Highlands. We use our multiple forms of capital to refocus the region's aspirations and goals, build the capacity of our grantees and partners, seed and support innovation, and measure and mark progress.","https://alleghanyfoundation.org/","Virginia, US; Alleghany, VA; Covington, VA","Performing arts; Economic development; Early learning; Elementary, secondary education; Fund; Public health, public health infrastructure"
"The Antara Foundation","2021","Disclosure delayed for benefit of recipient","Our vision is to help every mother and every child have an equal start to a healthy life. Our mission is to deliver public health solutions at scale for state and national impact.","https://antarafoundation.org/","South Asia; India","Access to healthcare; Child development and welfare; Maternal and perinatal health; Nutrition and food security; Public health, public health infrastructure"
"The Assisi Foundation of Memphis","2022","$14000000","Effective philanthropy.","https://assisifoundation.org/","Memphis, TN; Shelby County, TN","Bridging divides; Economic development; Access to healthcare; Nonprofit sector strengthening"
"The Audacious Project","2021","Disclosure delayed for benefit of recipient","The Audacious Project is a collaborative funding initiative catalyzing social impact on a grand scale. Every year we select and nurture a group of big, bold solutions to the world's most urgent challenges, and with the support of an inspiring group of donors and supporters, come together to get them launched.","https://www.audaciousproject.org/","Global","Fund; Philanthropic sector strengthening; Nonprofit sector strengthening"
"The BOMA Project","2021","$10000000","Our Mission is to provide the people and the governments of the African drylands with adapted economic inclusion programs that increase resiliency to multiple crises.","https://bomaproject.org/","Sub-Saharan Africa","Financial inclusion; Livelihoods and workforce development; Climate change; Natural resources conservation; Humanitarian assistance and relief"
"The Boys & Girls Clubs of the Mississippi Delta","2022","Disclosure delayed for benefit of recipient","To enable the youth of the Mississippi Delta, particularly those who need us most, to become caring, productive, and responsible citizens.","https://www.bgcmsdelta.org/","Mississippi, US","Youth development; Caste; Disability; Race and ethnicity; Child development and welfare"
"The Bridgespan Group","2020","$40000000","We work to build a better world by strengthening the ability of mission-driven organizations and philanthropists to achieve breakthrough results in addressing society's most important challenges and opportunities.","https://www.bridgespan.org/","Global","Philanthropic sector strengthening; Nonprofit sector strengthening"
"The Center for Cultural Power","2021","$3000000","The Center for Cultural Power is a women of color, artist-led organization, inspiring artists and culture makers to imagine a world where power is distributed equitably and where we live in harmony with nature.","https://www.culturalpower.org/","United States","Multidisciplinary arts; Race and ethnicity; Gender identity; Regrantor"
"The Center for Effective Philanthropy","2021","$10000000","CEP provides data, feedback, programs, and insights to help individual and institutional donors improve their effectiveness. We do this work because we believe effective donors, working collaboratively and thoughtfully, can profoundly contribute to creating a better and more just world.","https://cep.org","Global; Europe & Central Asia; North America","Philanthropic sector strengthening; Nonprofit sector strengthening"
"The Center for Election Innovation & Research","2020","Disclosure delayed for benefit of recipient","Our mission is to restore trust in the American election system and promote election procedures that encourage participation and ensure election integrity and security.","https://electioninnovation.org/","United States","Bridging divides; Civic and social engagement; Democracy"
"The Center for Learner Equity","2022","Disclosure delayed for benefit of recipient","We are committed to promoting student success and eradicating the complex, pervasive, and systemic barriers that prevent students with disabilities from accessing educational opportunities, quality support, and inclusive environments.","https://www.centerforlearnerequity.org/","Northeast, US; South, US; West, US","Elementary, secondary education; Disability"
"The Desmond Tutu Health Foundation","2022","Disclosure delayed for benefit of recipient","To lessen the impact of the HIV epidemic on individuals, families and communities through our commitment to excellence, innovation and our passion for humanity.","https://desmondtutuhealthfoundation.org.za/","Sub-Saharan Africa; South Africa","Youth development; Access to healthcare; Infectious and parasitic diseases; Public health, public health infrastructure; Sexual and reproductive health and justice"
"The Door","2021","Disclosure delayed for benefit of recipient","The Door’s mission is to empower young people to reach their potential by providing comprehensive youth development services in a diverse and caring environment.","https://door.org/","New York, NY","Creative youth development"
"The Education Trust","2021","Disclosure delayed for benefit of recipient","The Education Trust improves equity in education from preschool through college, engages diverse communities dedicated to education equity and justice, and increases political and public will to build an education system where students will thrive.","https://edtrust.org/","United States","Livelihoods and workforce development; Postsecondary, tertiary education"
"The END Fund","2022","Disclosure delayed for benefit of recipient","The END Fund's mission is to control and eliminate the most prevalent neglected tropical diseases (NTDs). Our vision is to ensure people at risk of NTDs can live healthy and prosperous lives.","https://end.org/","Middle East & North Africa; South Asia; Sub-Saharan Africa","Economic development; Fund; Access to healthcare; Child development and welfare; Infectious and parasitic diseases"
"The END Fund - Deworming Innovation Fund","2019","$10000000","The END Fund’s Deworming Innovation Fund aims to accelerate progress toward eliminating parasitic worms in Ethiopia, Rwanda, Zimbabwe, and Kenya, which will improve the health, quality of life, and educational and economic prospects of more than 40 million people living in these four countries through 2025.","https://end.org/","Sub-Saharan Africa","Child development and welfare; Infectious and parasitic diseases; Access to healthcare; Nutrition and food security; Water access, sanitation, and hygiene"
"The Fortune Society","2022","$10000000","The Fortune Society's mission is to support successful reentry from incarceration and promote alternatives to incarceration, thus strengthening the fabric of our communities.","https://fortunesociety.org/","New York, NY","Access to housing and housing development; Livelihoods and workforce development; Incarceration and justice system involvement; Mental and behavioral health; Human rights"
"The Freedom Fund","2021","$35000000","Our mission is to mobilise the knowledge, capital and will needed to end modern slavery.","https://freedomfund.org/","Global; East Asia & Pacific; Latin America & Caribbean","Fund; Sexual and gender-based violence; Philanthropic sector strengthening; Nonprofit sector strengthening"
"The Fund for Global Human Rights","2022","$10000000","The Fund for Global Human Rights equips grassroots activists with the financial and strategic support they need to improve lives, mobilize movements, and build a better future for their communities. Since 2002, the Fund has raised and invested over $124 million into the work of community activists in more than 50 countries.","https://globalhumanrights.org/","Global; Latin America & Caribbean; Sub-Saharan Africa","Civic and social engagement; Environmental justice; Fund; Sexual and gender-based violence; Human rights"
"The Goodwill Industries of Akron, Ohio","2020","$5000000","Helping individuals prepare for, find and retain employment","https://www.goodwillakron.org","Medina County, OH; Richland County, OH; Summit County, OH","Livelihoods and workforce development; Vocational education; Youth development; Disability; Incarceration and justice system involvement"
"The Greater Clark Foundation","2022","$3000000","The Greater Clark Foundation (GCF) is a health legacy foundation located in Winchester, Kentucky at the crossroads of two storied regions - where Appalachia meets the Bluegrass. GCF aspires to build on these legacies toward a region rich in opportunities for all, while recognizing that the weight of history is unevenly distributed.","https://www.clarkambition.org/","Kentucky, US","Bridging divides; Civic and social engagement; Race and ethnicity; Fund; Active living"
"The Greater Good Science Center at UC Berkeley","2020","$1000000","The Greater Good Science Center studies the psychology, sociology, and neuroscience of well-being and teaches skills that foster a thriving, resilient, and compassionate society.","https://ggsc.berkeley.edu/","Global; North America","Bridging divides; Civic and social engagement; Elementary, secondary education; Youth development; Mental and behavioral health"
"The Greenlining Institute","2021","$8000000","The Greenlining Institute works toward a future when communities of color can build wealth, live in healthy places filled with economic opportunity, and are ready to meet the challenges posed by climate change.","https://greenlining.org/","Midwest, US; West, US; California, US","Economic development; Financial inclusion; Climate change; Environmental justice; Regrantor"
"The Guttmacher Institute","2022","$15000000","The Guttmacher Institute is a leading research and policy organization committed to advancing sexual and reproductive health and rights (SRHR) worldwide. The Guttmacher Institute envisions a future in which all people can realize their rights and access the resources they need to achieve sexual and reproductive health.","https://www.guttmacher.org/","Global; United States","Access to healthcare; Maternal and perinatal health; Public health, public health infrastructure; Sexual and reproductive health and justice"
"The Headstrong Project","2022","$10000000","Headstrong is a national-facing mental health treatment practice of choice for our nation's military, veterans, and their associated family members. Operating as a nonprofit, we offer stigma-free, evidence-based, trauma-focused treatment.","https://getheadstrong.org/","United States","Access to healthcare; Mental and behavioral health"
"The Heart of the Valley YMCA","2020","$2000000","The Heart of the Valley YMCA is a cause driven, inclusive organization that puts Christian principles into practice that build a healthy spirit, mind and body for all.","https://www.ymcahuntsville.org","Madison County, AL; Marshall County, AL; Morgan County, AL","Bridging divides; Civic and social engagement; Financial inclusion; Early learning; Youth development"
"The Institute for Transformative Technologies","2021","$8000000","ITT is one of the world's leading organizations focused on technology-led services for low-income communities in LMICs. ITT's mission is to bring to life, the most critical breakthrough technologies required for sustainable global development, and deploy these technologies through innovative, practical business models for large-scale impact.","https://transformativetechnologies.org/","South Asia; Sub-Saharan Africa","Agricultural development; Economic development; Environmental justice; Access to healthcare; Public health, public health infrastructure"
"The International Association of Blacks in Dance","2021","$3000000","IABD preserves and promotes dance by people of African ancestry or origin, and assists and increases opportunities for artists in advocacy, audience development, education, funding, networking, performance, philosophical dialogue, and touring.","https://www.iabdassociation.org/","Global; Northeast, US; United States","Cultural awareness; Performing arts; Bridging divides; Regrantor; Nonprofit sector strengthening"
"The International Land and Forest Tenure Facility","2021","Disclosure delayed for benefit of recipient","Our Mission is to work in partnership with Indigenous Peoples and local communities to strengthen their tenure and capacity to preserve, protect and enjoy the benefits of their traditional lands, territories, and resources","https://thetenurefacility.org/","Latin America & Caribbean; South Asia; Sub-Saharan Africa","Climate change; Environmental justice; Natural resources conservation; Regrantor; Nonprofit sector strengthening"
"The Jed Foundation","2022","$15000000","The Jed Foundation is a nonprofit that protects emotional health and prevents suicide for our nation's teens and young adults, giving them the skills and support they need to thrive today...and tomorrow.","https://jedfoundation.org/","United States","Elementary, secondary education; Postsecondary, tertiary education; Youth development; Mental and behavioral health; Public health, public health infrastructure"
"The Knights & Orchids Society","2022","Disclosure delayed for benefit of recipient","The Knights & Orchids Society (TKO) strives to build the power of the TLBG community for African Americans throughout rural areas of Alabama, to obtain our dream of justice and equality through group economics, education, leadership development, and organizing cultural work.","https://www.tkosociety.org/","United States","Sexual orientation"
"The Latino Coalition for Community Leadership","2022","$10000000","Our purpose is to find, fund, form, and feature nonprofits in marginalized communities meeting the needs of individuals and families.","https://latinocoalition.org/","California, US; Colorado, US; Oregon, US","Livelihoods and workforce development; Incarceration and justice system involvement; Fund; Nonprofit sector strengthening"
"The Laundromat Project","2021","$2000000","The Laundromat Project is an arts organization that advances artists and neighbors as change agents in their own communities.","https://www.laundromatproject.org/","New York, US","Cultural awareness; Multidisciplinary arts; Museums; Public arts; Visual arts"
"The Literacy Lab","2022","$10000000","The Literacy Lab provides students–in communities experiencing racial and/or economic inequities–with evidence-based, culturally responsive literacy instruction as preparation for academic, professional, and personal success. We achieve our mission by: Developing our people. Using data to drive innovation and improvement. Leveraging partnerships to meet the needs of our stakeholders.","https://theliteracylab.org/","Midwest, US; Northeast, US; South, US","Early learning; Youth development; Race and ethnicity"
"The Luminos Fund","2022","Disclosure delayed for benefit of recipient","Luminos runs catch up education programs that enable children who have been kept out of school by conflict or poverty to complete three years' worth of schooling in ten months and continue their studies in mainstream schools with children their own age.","https://luminosfund.org/","Middle East & North Africa; Sub-Saharan Africa","Elementary, secondary education"
"The Management Center","2021","$5000000","The Management Center provides intensive hands-on coaching services for executive directors and their senior leadership teams; management training courses that equip managers and leaders with skills, practices, and tools they can put to work immediately; and curated resources on equitable, sustainable, and results-driven management.","https://www.managementcenter.org/","United States","Nonprofit sector strengthening"
"The Memphis Lift","2022","$1500000","The Memphis Lift is a movement by and for parents whose children attend chronically low-performing schools. We build awareness of the criminal manner in which many Memphis students are underserved; and to build demand for radical changes in public education to disrupt systemic educational inequities through choice and healthy competition.","https://memphislift.org/","Tennessee, US; Memphis, TN","Early learning; Elementary, secondary education; Vocational education; Youth development; Race and ethnicity"
"The Mission Continues","2022","$10000000","We are on a mission to connect military veterans with opportunities to continue their service and leadership in under-resourced communities across the country.","https://www.missioncontinues.org/","Washington, DC; Houston, TX; Los Angeles, CA","Bridging divides; Civic and social engagement; Youth development; Race and ethnicity; Public health, public health infrastructure"
"The Nature Conservancy - Blue Bonds","2019","$10000000","The mission of The Nature Conservancy is to conserve the lands and waters on which all life depends. Our vision is a world where the diversity of life thrives, and people act to conserve nature for its own sake and its ability to fulfill our needs and enrich our lives.","https://www.nature.org/en-us/what-we-do/our-insights/perspectives/an-audacious-plan-to-save-the-worlds-oceans/?vu=r.v_bluebonds","Global","Climate change; Environmental justice; Natural resources conservation; Philanthropic sector strengthening"
"The Nature Conservancy - US Climate Action","2020","$15000000","The mission of The Nature Conservancy is to conserve the lands and waters on which all life depends. Our vision is a world where the diversity of life thrives, and people act to conserve nature for its own sake and its ability to fulfill our needs and enrich our lives.","https://www.nature.org/en-us/what-we-do/our-insights/perspectives/a-natural-path-for-u-s-climate-action/","Midwest, US; Northeast, US; West, US","Civic and social engagement; Democracy; Climate change; Environmental justice; Natural resources conservation"
"The Oakland REACH","2022","$3000000","The Oakland REACH is a parent-led group that is empowering parents from our most underserved communities to demand high quality schools for their children, and to disrupt systematic educational inequity in Oakland public schools. It is our mission to make the powerless parent powerful!","https://oaklandreach.org/","California, US; Oakland, CA","Livelihoods and workforce development; Elementary, secondary education"
"The Obama Foundation","2020","$10000000","Our mission is to inspire, empower, and connect people to change their world.","https://www.obama.org/","Chicago, IL; Global; United States","Museums; Bridging divides; Civic and social engagement; Youth development"
"The On Being Project","2020","$5000000","Pursuing deep thinking and moral imagination, social courage and joy, to renew inner life, outer life, and life together.","https://onbeing.org/","Global; Europe & Central Asia; North America","Cultural awareness; Bridging divides"
"The Opportunity Agenda","2020","$4000000","To build the public imagination and cultural will to challenge white supremacy and its pervasive impact, work in community to overcome opposition narratives that exclude and divide us, and advance narratives that support opportunity for all,","https://www.opportunityagenda.org/","United States","Democracy; Immigration or migration; Incarceration and justice system involvement; Race and ethnicity; Nonprofit sector strengthening"
"The Other Foundation","2022","$4000000","The Other Foundation is a southern African LGBTI community foundation that advances and protects freedom, equality, and social and economic inclusion of homosexual and bisexual women and men, and transgender and intersex people. It does this through fundraising, grantmaking, and movement building including research and convenings.","https://theotherfoundation.org/","Sub-Saharan Africa","Gender identity; Sexual orientation; Regrantor; Philanthropic sector strengthening"
"The Posse Foundation","2020","$10000000","Posse started when one student said he never would have dropped out of college if he'd had his posse with him. Posse sends teams of students together to college. Our mission is to develop a network of dynamic and powerful leaders who reflect the great diversity of the American population.","https://www.possefoundation.org/","New York, US; Puerto Rico, US; California, US","Multidisciplinary arts; Bridging divides; Democracy; Postsecondary, tertiary education; Race and ethnicity"
"The Praxis Project","2022","$4000000","The Praxis Project's mission is to build healthy communities by transforming the power relationships and structures that affect our lives and communities.","https://www.thepraxisproject.org/","Northeast, US; South, US; West, US","Civic and social engagement; Race and ethnicity; Regrantor; Public health, public health infrastructure; Nonprofit sector strengthening"
"The Rapides Foundation","2022","$14000000","The mission of The Rapides Foundation is to improve the health status of Central Louisiana.","https://www.rapidesfoundation.org/","Avoyelles Parish, LA; Natchitoches, LA; Rapides Parish, LA","Economic development; Early learning; Elementary, secondary education; Fund; Access to healthcare"
